site,year,season_tmax_max,season_tmax_mean,season_heat_days,season_no_hw,season_tot_hwu,season_avg_hwu,season_max_hw_dur,season_avg_hw_dur,season_max_hw_vpd,season_avg_hw_vpd,gdd_apr_oct,precip_season,Apr_tmax_max,Apr_tmax_mean,Apr_heat_days,Apr_no_hw,Apr_tot_hwu,Apr_avg_hwu,Apr_max_hw_dur,Apr_avg_hw_dur,Apr_max_hw_vpd,Apr_avg_hw_vpd,May_tmax_max,May_tmax_mean,May_heat_days,May_no_hw,May_tot_hwu,May_avg_hwu,May_max_hw_dur,May_avg_hw_dur,May_max_hw_vpd,May_avg_hw_vpd,Jun_tmax_max,Jun_tmax_mean,Jun_heat_days,Jun_no_hw,Jun_tot_hwu,Jun_avg_hwu,Jun_max_hw_dur,Jun_avg_hw_dur,Jun_max_hw_vpd,Jun_avg_hw_vpd,Jul_tmax_max,Jul_tmax_mean,Jul_heat_days,Jul_no_hw,Jul_tot_hwu,Jul_avg_hwu,Jul_max_hw_dur,Jul_avg_hw_dur,Jul_max_hw_vpd,Jul_avg_hw_vpd,Aug_tmax_max,Aug_tmax_mean,Aug_heat_days,Aug_no_hw,Aug_tot_hwu,Aug_avg_hwu,Aug_max_hw_dur,Aug_avg_hw_dur,Aug_max_hw_vpd,Aug_avg_hw_vpd,Sep_tmax_max,Sep_tmax_mean,Sep_heat_days,Sep_no_hw,Sep_tot_hwu,Sep_avg_hwu,Sep_max_hw_dur,Sep_avg_hw_dur,Sep_max_hw_vpd,Sep_avg_hw_vpd,Oct_tmax_max,Oct_tmax_mean,Oct_heat_days,Oct_no_hw,Oct_tot_hwu,Oct_avg_hwu,Oct_max_hw_dur,Oct_avg_hw_dur,Oct_max_hw_vpd,Oct_avg_hw_vpd,MayJul_tmax_max,MayJul_tmax_mean,MayJul_heat_days,MayJul_no_hw,MayJul_tot_hwu,MayJul_avg_hwu,MayJul_max_hw_dur,MayJul_avg_hw_dur,MayJul_max_hw_vpd,MayJul_avg_hw_vpd,AugOct_tmax_max,AugOct_tmax_mean,AugOct_heat_days,AugOct_no_hw,AugOct_tot_hwu,AugOct_avg_hwu,AugOct_max_hw_dur,AugOct_avg_hw_dur,AugOct_max_hw_vpd,AugOct_avg_hw_vpd,cluster,season_type
S1,1991,41.5,26.71495327102804,4,1,6.5,6.5,4,4.0,5.913,5.913,1824.8000000000002,89.93,26.4,18.689999999999998,0,0,0,0.0,0,0.0,0.0,0.0,29.8,21.58064516129032,0,0,0,0.0,0,0.0,0.0,0.0,33.2,26.666666666666668,0,0,0.0,0.0,0,0.0,0.0,0.0,41.5,32.19032258064516,4,1,6.5,6.5,4,4.0,5.913,5.913,33.9,29.406451612903226,0,0,0.0,0.0,0,0.0,0.0,0.0,36.7,30.876666666666658,0,0,0.0,0.0,0,0.0,0.0,0.0,36.5,27.46774193548387,0,0,0,0.0,0,0.0,0.0,0.0,41.5,26.81413043478261,4,1,6.5,6.5,4,4.0,5.913,5.913,36.7,29.23260869565218,0,0,0.0,0.0,0,0.0,0.0,0.0,3,PRE-V
S1,1992,37.6,28.09018691588785,0,0,0.0,0.0,0,0.0,0.0,0.0,2095.4,156.99,29.6,22.02,0,0,0,0.0,0,0.0,0.0,0.0,32.6,28.187096774193545,0,0,0,0.0,0,0.0,0.0,0.0,34.3,27.543333333333333,0,0,0.0,0.0,0,0.0,0.0,0.0,37.2,30.66129032258064,0,0,0.0,0.0,0,0.0,0.0,0.0,37.6,33.15483870967742,0,0,0.0,0.0,0,0.0,0.0,0.0,34.7,29.516666666666666,0,0,0.0,0.0,0,0.0,0.0,0.0,34.1,25.380645161290325,0,0,0,0.0,0,0.0,0.0,0.0,37.2,28.810869565217395,0,0,0.0,0.0,0,0.0,0.0,0.0,37.6,29.348913043478255,0,0,0.0,0.0,0,0.0,0.0,0.0,2,Cool
S1,1993,40.5,26.448130841121493,4,1,3.1999999999999957,3.1999999999999957,3,3.0,5.772,5.772,1833.7000000000003,169.65999999999997,27.6,18.886666666666663,0,0,0,0.0,0,0.0,0.0,0.0,30.2,22.267741935483865,0,0,0,0.0,0,0.0,0.0,0.0,38.1,28.03666666666667,1,0,0.0,0.0,0,0.0,0.0,0.0,34.2,30.270967741935483,0,0,0.0,0.0,0,0.0,0.0,0.0,40.5,31.283870967741933,3,1,3.1999999999999957,3.1999999999999957,3,3.0,5.772,5.772,35.8,29.84666666666667,0,0,0.0,0.0,0,0.0,0.0,0.0,31.5,24.46129032258065,0,0,0,0.0,0,0.0,0.0,0.0,38.1,26.84565217391304,1,0,0.0,0.0,0,0.0,0.0,0.0,40.5,28.516304347826086,3,1,3.1999999999999957,3.1999999999999957,3,3.0,5.772,5.772,1,POST-V
S1,1994,37.6,26.985514018691585,0,0,0.0,0.0,0,0.0,0.0,0.0,1852.8,116.64999999999999,27.5,20.56,0,0,0,0.0,0,0.0,0.0,0.0,31.0,23.351612903225814,0,0,0,0.0,0,0.0,0.0,0.0,37.1,28.36333333333334,0,0,0.0,0.0,0,0.0,0.0,0.0,35.2,31.61935483870968,0,0,0.0,0.0,0,0.0,0.0,0.0,37.6,32.04516129032258,0,0,0.0,0.0,0,0.0,0.0,0.0,34.9,29.31,0,0,0.0,0.0,0,0.0,0.0,0.0,30.5,23.561290322580643,0,0,0,0.0,0,0.0,0.0,0.0,37.1,27.77173913043479,0,0,0.0,0.0,0,0.0,0.0,0.0,37.6,28.294565217391302,0,0,0.0,0.0,0,0.0,0.0,0.0,2,Cool
S1,1995,39.0,26.380841121495326,3,1,1.2000000000000028,1.2000000000000028,2,2.0,5.279,5.279,1859.6,149.07,25.8,18.439999999999998,0,0,0,0.0,0,0.0,0.0,0.0,29.3,21.019354838709678,0,0,0,0.0,0,0.0,0.0,0.0,39.0,26.506666666666668,2,1,1.2000000000000028,1.2000000000000028,2,2.0,5.279,5.279,37.4,30.709677419354836,0,0,0.0,0.0,0,0.0,0.0,0.0,38.1,31.932258064516127,1,0,0.0,0.0,0,0.0,0.0,0.0,36.4,29.62666666666666,0,0,0.0,0.0,0,0.0,0.0,0.0,32.8,26.283870967741933,0,0,0,0.0,0,0.0,0.0,0.0,39.0,26.073913043478264,2,1,1.2000000000000028,1.2000000000000028,2,2.0,5.279,5.279,38.1,29.277173913043477,1,0,0.0,0.0,0,0.0,0.0,0.0,3,PRE-V
S1,1996,40.2,27.535046728971963,6,1,8.399999999999999,8.399999999999999,5,5.0,6.557,6.557,2005.4999999999998,246.17000000000002,31.3,19.94333333333333,0,0,0,0.0,0,0.0,0.0,0.0,33.2,23.641935483870963,0,0,0,0.0,0,0.0,0.0,0.0,35.2,28.920000000000005,0,0,0.0,0.0,0,0.0,0.0,0.0,37.8,33.754838709677415,0,0,0.0,0.0,0,0.0,0.0,0.0,40.2,33.638709677419364,6,1,8.399999999999999,8.399999999999999,5,5.0,6.557,6.557,33.9,28.71333333333333,0,0,0.0,0.0,0,0.0,0.0,0.0,36.8,23.970967741935485,0,0,0,0.0,0,0.0,0.0,0.0,37.8,28.770652173913046,0,0,0.0,0.0,0,0.0,0.0,0.0,40.2,28.775,6,1,8.399999999999999,8.399999999999999,5,5.0,6.557,6.557,1,POST-V
S1,1997,39.0,27.569626168224296,3,1,1.9000000000000057,1.9000000000000057,3,3.0,5.856,5.856,2034.5,113.94,28.6,21.02,0,0,0,0.0,0,0.0,0.0,0.0,35.7,27.883870967741938,0,0,0,0.0,0,0.0,0.0,0.0,34.9,28.389999999999997,0,0,0.0,0.0,0,0.0,0.0,0.0,36.6,31.89354838709677,0,0,0.0,0.0,0,0.0,0.0,0.0,39.0,30.496774193548386,3,1,1.9000000000000057,1.9000000000000057,3,3.0,5.856,5.856,34.9,29.823333333333334,0,0,0.0,0.0,0,0.0,0.0,0.0,30.1,23.36774193548387,0,0,0,0.0,0,0.0,0.0,0.0,36.6,29.400000000000002,0,0,0.0,0.0,0,0.0,0.0,0.0,39.0,27.875,3,1,1.9000000000000057,1.9000000000000057,3,3.0,5.856,5.856,1,POST-V
S1,1998,41.1,25.151401869158885,7,1,5.800000000000004,5.800000000000004,3,3.0,6.451,6.451,1701.0,261.54999999999995,27.6,17.68,0,0,0,0.0,0,0.0,0.0,0.0,23.0,17.500000000000004,0,0,0,0.0,0,0.0,0.0,0.0,32.3,24.52,0,0,0.0,0.0,0,0.0,0.0,0.0,38.8,31.725806451612907,1,0,0.0,0.0,0,0.0,0.0,0.0,41.1,33.096774193548384,4,1,5.800000000000004,5.800000000000004,3,3.0,6.451,6.451,38.9,28.726666666666663,2,0,0.0,0.0,0,0.0,0.0,0.0,28.4,22.664516129032254,0,0,0,0.0,0,0.0,0.0,0.0,38.8,24.582608695652176,1,0,0.0,0.0,0,0.0,0.0,0.0,41.1,28.15652173913043,6,1,5.800000000000004,5.800000000000004,3,3.0,6.451,6.451,1,POST-V
S1,1999,40.3,26.778971962616826,3,1,3.6999999999999957,3.6999999999999957,2,2.0,6.002,6.002,1847.8000000000004,113.38,27.8,19.053333333333335,0,0,0,0.0,0,0.0,0.0,0.0,31.4,23.71935483870968,0,0,0,0.0,0,0.0,0.0,0.0,36.5,27.496666666666663,0,0,0.0,0.0,0,0.0,0.0,0.0,40.3,30.454838709677414,3,1,3.6999999999999957,3.6999999999999957,2,2.0,6.002,6.002,37.9,29.816129032258065,0,0,0.0,0.0,0,0.0,0.0,0.0,34.2,30.246666666666666,0,0,0.0,0.0,0,0.0,0.0,0.0,33.8,26.551612903225806,0,0,0,0.0,0,0.0,0.0,0.0,40.3,27.220652173913045,3,1,3.6999999999999957,3.6999999999999957,2,2.0,6.002,6.002,37.9,28.856521739130436,0,0,0.0,0.0,0,0.0,0.0,0.0,3,PRE-V
S1,2000,40.6,26.877102803738318,2,0,0.0,0.0,0,0.0,0.0,0.0,1898.4999999999995,246.88,30.5,21.60333333333333,0,0,0,0.0,0,0.0,0.0,0.0,35.6,24.322580645161292,0,0,0,0.0,0,0.0,0.0,0.0,40.6,29.810000000000002,1,0,0.0,0.0,0,0.0,0.0,0.0,35.1,29.793548387096774,0,0,0.0,0.0,0,0.0,0.0,0.0,37.9,31.78709677419355,0,0,0.0,0.0,0,0.0,0.0,0.0,38.6,28.480000000000008,1,0,0.0,0.0,0,0.0,0.0,0.0,33.9,22.319354838709682,0,0,0,0.0,0,0.0,0.0,0.0,40.6,27.95543478260869,1,0,0.0,0.0,0,0.0,0.0,0.0,38.6,27.518478260869568,1,0,0.0,0.0,0,0.0,0.0,0.0,2,Cool
